Fitness: 182008, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 8, RoundsPolygon: 6 Dissmissed: 10
Fitness: 183145, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 6 Dissmissed: 10
Fitness: 181318, Laufzeit: 0:00:05 Pop: 30, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 7 Dissmissed: 10
Fitness: 188662, Laufzeit: 0:00:10 Pop: 30, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 15, RoundsPolygon: 5 Dissmissed: 10
Fitness: 185712, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 5, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 6 Dissmissed: 10
Fitness: 188390, Laufzeit: 0:00:08 Pop: 30, Wi: 6, Mu: 1, Me: 1, Gen: 4 RoundsFind: 17, RoundsPolygon: 11 Dissmissed: 10
Fitness: 184849, Laufzeit: 0:00:12 Pop: 30, Wi: 3, Mu: 5, Me: 5, Gen: 4 RoundsFind: 16, RoundsPolygon: 5 Dissmissed: 10
Fitness: 193610, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 9 Dissmissed: 10
Fitness: 187811, Laufzeit: 0:00:08 Pop: 30, Wi: 6, Mu: 3, Me: 1, Gen: 4 RoundsFind: 14, RoundsPolygon: 11 Dissmissed: 10
Fitness: 190068, Laufzeit: 0:00:10 Pop: 30, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 19, RoundsPolygon: 10 Dissmissed: 10
Fitness: 191810, Laufzeit: 0:00:14 Pop: 30, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 10 Dissmissed: 10
Fitness: 188079, Laufzeit: 0:00:08 Pop: 30, Wi: 6, Mu: 5, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 10 Dissmissed: 10
Fitness: 184395, Laufzeit: 0:00:14 Pop: 30, Wi: 6, Mu: 3, Me: 5, Gen: 4 RoundsFind: 21, RoundsPolygon: 10 Dissmissed: 10
Fitness: 186509, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 5, Me: 5, Gen: 4 RoundsFind: 18, RoundsPolygon: 10 Dissmissed: 10
Fitness: 191489, Laufzeit: 0:00:17 Pop: 30, Wi: 6, Mu: 5, Me: 3, Gen: 4 RoundsFind: 23, RoundsPolygon: 10 Dissmissed: 10
Fitness: 190749, Laufzeit: 0:00:13 Pop: 30, Wi: 10, Mu: 1, Me: 1, Gen: 4 RoundsFind: 26, RoundsPolygon: 15 Dissmissed: 10
Fitness: 194011, Laufzeit: 0:00:19 Pop: 30, Wi: 10, Mu: 1, Me: 3, Gen: 4 RoundsFind: 32, RoundsPolygon: 14 Dissmissed: 10
Fitness: 187808, Laufzeit: 0:00:20 Pop: 30, Wi: 10, Mu: 1, Me: 5, Gen: 4 RoundsFind: 27, RoundsPolygon: 16 Dissmissed: 10
Fitness: 182904, Laufzeit: 0:00:18 Pop: 30, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 30, RoundsPolygon: 15 Dissmissed: 10
Fitness: 185675, Laufzeit: 0:00:15 Pop: 30, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 25, RoundsPolygon: 15 Dissmissed: 10
Fitness: 186099, Laufzeit: 0:00:17 Pop: 30, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 23, RoundsPolygon: 14 Dissmissed: 10
Fitness: 183793, Laufzeit: 0:00:31 Pop: 30, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 31, RoundsPolygon: 17 Dissmissed: 10
Fitness: 184805, Laufzeit: 0:00:17 Pop: 30, Wi: 10, Mu: 5, Me: 5, Gen: 4 RoundsFind: 24, RoundsPolygon: 16 Dissmissed: 10
Fitness: 185955, Laufzeit: 0:00:23 Pop: 30, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 31, RoundsPolygon: 16 Dissmissed: 10
Fitness: 191468, Laufzeit: 0:00:28 Pop: 30, Wi: 20, Mu: 1, Me: 1, Gen: 4 RoundsFind: 57, RoundsPolygon: 30 Dissmissed: 10
Fitness: 195059, Laufzeit: 0:00:25 Pop: 30, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 39, RoundsPolygon: 25 Dissmissed: 10
Fitness: 194934, Laufzeit: 0:00:29 Pop: 30, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 44, RoundsPolygon: 27 Dissmissed: 10
Fitness: 180330, Laufzeit: 0:00:25 Pop: 30, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 54, RoundsPolygon: 32 Dissmissed: 10
Fitness: 186955, Laufzeit: 0:00:29 Pop: 30, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 44, RoundsPolygon: 29 Dissmissed: 10
Fitness: 185511, Laufzeit: 0:00:27 Pop: 30, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 43, RoundsPolygon: 31 Dissmissed: 10
Fitness: 179919, Laufzeit: 0:00:41 Pop: 30, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 57, RoundsPolygon: 32 Dissmissed: 10
Fitness: 183223, Laufzeit: 0:00:27 Pop: 30, Wi: 20, Mu: 5, Me: 5, Gen: 4 RoundsFind: 43, RoundsPolygon: 29 Dissmissed: 10
Fitness: 184587, Laufzeit: 0:00:33 Pop: 30, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 49, RoundsPolygon: 27 Dissmissed: 10
Fitness: 189651, Laufzeit: 0:00:49 Pop: 30, Wi: 50, Mu: 1, Me: 5, Gen: 4 RoundsFind: 86, RoundsPolygon: 64 Dissmissed: 10
Fitness: 188050, Laufzeit: 0:01:02 Pop: 30, Wi: 50, Mu: 1, Me: 3, Gen: 4 RoundsFind: 104, RoundsPolygon: 66 Dissmissed: 10
Fitness: 185286, Laufzeit: 0:01:17 Pop: 30, Wi: 50, Mu: 1, Me: 1, Gen: 4 RoundsFind: 122, RoundsPolygon: 64 Dissmissed: 10
Fitness: 187692, Laufzeit: 0:00:49 Pop: 30, Wi: 50, Mu: 3, Me: 5, Gen: 4 RoundsFind: 94, RoundsPolygon: 66 Dissmissed: 10
Fitness: 184420, Laufzeit: 0:01:05 Pop: 30, Wi: 50, Mu: 3, Me: 3, Gen: 4 RoundsFind: 97, RoundsPolygon: 68 Dissmissed: 10
Fitness: 182123, Laufzeit: 0:02:20 Pop: 30, Wi: 50, Mu: 3, Me: 1, Gen: 4 RoundsFind: 137, RoundsPolygon: 77 Dissmissed: 10
Fitness: 186347, Laufzeit: 0:01:09 Pop: 30, Wi: 50, Mu: 5, Me: 3, Gen: 4 RoundsFind: 93, RoundsPolygon: 72 Dissmissed: 10
Fitness: 190282, Laufzeit: 0:00:48 Pop: 30, Wi: 50, Mu: 5, Me: 5, Gen: 4 RoundsFind: 86, RoundsPolygon: 67 Dissmissed: 10
Fitness: 181619, Laufzeit: 0:02:23 Pop: 30, Wi: 50, Mu: 5, Me: 1, Gen: 4 RoundsFind: 122, RoundsPolygon: 67 Dissmissed: 10
Fitness: 190261, Laufzeit: 0:01:30 Pop: 30, Wi: 100, Mu: 1, Me: 3, Gen: 4 RoundsFind: 163, RoundsPolygon: 134 Dissmissed: 10
Fitness: 186567, Laufzeit: 0:01:21 Pop: 30, Wi: 100, Mu: 1, Me: 5, Gen: 4 RoundsFind: 160, RoundsPolygon: 109 Dissmissed: 10
Fitness: 192666, Laufzeit: 0:03:05 Pop: 30, Wi: 100, Mu: 1, Me: 1, Gen: 4 RoundsFind: 200, RoundsPolygon: 123 Dissmissed: 10
Fitness: 184696, Laufzeit: 0:01:38 Pop: 30, Wi: 100, Mu: 3, Me: 3, Gen: 4 RoundsFind: 177, RoundsPolygon: 128 Dissmissed: 10
Fitness: 186588, Laufzeit: 0:01:25 Pop: 30, Wi: 100, Mu: 3, Me: 5, Gen: 4 RoundsFind: 168, RoundsPolygon: 124 Dissmissed: 10
Fitness: 180865, Laufzeit: 0:03:54 Pop: 30, Wi: 100, Mu: 3, Me: 1, Gen: 4 RoundsFind: 208, RoundsPolygon: 127 Dissmissed: 10
Fitness: 183647, Laufzeit: 0:01:44 Pop: 30, Wi: 100, Mu: 5, Me: 3, Gen: 4 RoundsFind: 168, RoundsPolygon: 125 Dissmissed: 10
Fitness: 187735, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 191445, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 189869, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
